muscle_column,emg_fs,start_grf_idx,end_mocap_idx,mapped_start_emg_idx,mapped_end_emg_idx,cropped_length,status,subject,trial
Tibialis Anterior (%),1259,3320,1145,4180,7208,3028,success,S02,1
Gastrocnemius Medialis (%),1778,3320,1145,5903,10179,4276,success,S02,1
Gastrocnemius Lateralis (%),1778,3320,1145,5903,10179,4276,success,S02,1
Rectus Femoris (%),1259,3320,1145,4180,7208,3028,success,S02,1
Vastus Lateralis (%),1778,3320,1145,5903,10179,4276,success,S02,1
Vastus Medialis (%),1778,3320,1145,5903,10179,4276,success,S02,1
Semitendinosus (%),1259,3320,1145,4180,7208,3028,success,S02,1
Bicep Femoris (%),1259,3320,1145,4180,7208,3028,success,S02,1
Tibialis Anterior (%),1259,3311,1158,4169,7290,3121,success,S02,2
Gastrocnemius Medialis (%),1778,3311,1158,5887,10295,4408,success,S02,2
Gastrocnemius Lateralis (%),1778,3311,1158,5887,10295,4408,success,S02,2
Rectus Femoris (%),1259,3311,1158,4169,7290,3121,success,S02,2
Vastus Lateralis (%),1778,3311,1158,5887,10295,4408,success,S02,2
Vastus Medialis (%),1778,3311,1158,5887,10295,4408,success,S02,2
Semitendinosus (%),1259,3311,1158,4169,7290,3121,success,S02,2
Bicep Femoris (%),1259,3311,1158,4169,7290,3121,success,S02,2
Tibialis Anterior (%),1259,2301,805,2897,5067,2170,success,S03,1
Gastrocnemius Medialis (%),1778,2301,805,4091,7156,3065,success,S03,1
Gastrocnemius Lateralis (%),1778,2301,805,4091,7156,3065,success,S03,1
Rectus Femoris (%),1259,2301,805,2897,5067,2170,success,S03,1
Vastus Lateralis (%),1778,2301,805,4091,7156,3065,success,S03,1
Vastus Medialis (%),1778,2301,805,4091,7156,3065,success,S03,1
Semitendinosus (%),1259,2301,805,2897,5067,2170,success,S03,1
Bicep Femoris (%),1259,2301,805,2897,5067,2170,success,S03,1
Tibialis Anterior (%),1259,1,931,1,5861,5860,success,S03,2
Gastrocnemius Medialis (%),1778,1,931,2,8277,8275,success,S03,2
Gastrocnemius Lateralis (%),1778,1,931,2,8277,8275,success,S03,2
Rectus Femoris (%),1259,1,931,1,5861,5860,success,S03,2
Vastus Lateralis (%),1778,1,931,2,8277,8275,success,S03,2
Vastus Medialis (%),1778,1,931,2,8277,8275,success,S03,2
Semitendinosus (%),1259,1,931,1,5861,5860,success,S03,2
Bicep Femoris (%),1259,1,931,1,5861,5860,success,S03,2
Tibialis Anterior (%),1259,3063,948,3856,5968,2112,success,S03,3
Gastrocnemius Medialis (%),1778,3063,948,5446,8428,2982,success,S03,3
Gastrocnemius Lateralis (%),1778,3063,948,5446,8428,2982,success,S03,3
Rectus Femoris (%),1259,3063,948,3856,5968,2112,success,S03,3
Vastus Lateralis (%),1778,3063,948,5446,8428,2982,success,S03,3
Vastus Medialis (%),1778,3063,948,5446,8428,2982,success,S03,3
Semitendinosus (%),1259,3063,948,3856,5968,2112,success,S03,3
Bicep Femoris (%),1259,3063,948,3856,5968,2112,success,S03,3
Tibialis Anterior (%),1259,2944,936,3706,5892,2186,success,S03,4
Gastrocnemius Medialis (%),1778,2944,936,5234,8321,3087,success,S03,4
Gastrocnemius Lateralis (%),1778,2944,936,5234,8321,3087,success,S03,4
Rectus Femoris (%),1259,2944,936,3706,5892,2186,success,S03,4
Vastus Lateralis (%),1778,2944,936,5234,8321,3087,success,S03,4
