subject,trial,dominant_leg,mot_file,c3d_file,emg_file,output_csv,start_grf_idx,start_time_sec,end_mocap_idx,status
S02,1,R,D:\RESEARCH\STW_dataset\Extracted\S02\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S02\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S02\ExpData\EMG and IMU\Processed_Normalized_EMG\S02_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S02\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S02_stw1_cropped_rise_to_hs_emg.csv,3320,3.32,1145,success
S02,2,R,D:\RESEARCH\STW_dataset\Extracted\S02\ExpData\Mocap\grfResults\stw2.mot,D:\RESEARCH\STW_dataset\Extracted\S02\ExpData\Mocap\stw2.c3d,D:\RESEARCH\STW_dataset\Extracted\S02\ExpData\EMG and IMU\Processed_Normalized_EMG\S02_stw2_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S02\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S02_stw2_cropped_rise_to_hs_emg.csv,3311,3.311,1158,success
S03,1,R,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\EMG and IMU\Processed_Normalized_EMG\S03_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S03_stw1_cropped_rise_to_hs_emg.csv,2301,2.301,805,success
S03,2,R,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\Mocap\grfResults\stw2.mot,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\Mocap\stw2.c3d,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\EMG and IMU\Processed_Normalized_EMG\S03_stw2_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S03_stw2_cropped_rise_to_hs_emg.csv,1,0.001,931,success
S03,3,R,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\Mocap\grfResults\stw3.mot,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\Mocap\stw3.c3d,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\EMG and IMU\Processed_Normalized_EMG\S03_stw3_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S03_stw3_cropped_rise_to_hs_emg.csv,3063,3.063,948,success
S03,4,R,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\Mocap\grfResults\stw4.mot,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\Mocap\stw4.c3d,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\EMG and IMU\Processed_Normalized_EMG\S03_stw4_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S03_stw4_cropped_rise_to_hs_emg.csv,2944,2.944,936,success
S03,5,R,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\Mocap\grfResults\stw5.mot,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\Mocap\stw5.c3d,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\EMG and IMU\Processed_Normalized_EMG\S03_stw5_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S03\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S03_stw5_cropped_rise_to_hs_emg.csv,3406,3.406,1017,success
S04,1,R,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\EMG and IMU\Processed_Normalized_EMG\S04_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S04_stw1_cropped_rise_to_hs_emg.csv,3308,3.308,1041,success
S04,2,R,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\Mocap\grfResults\stw2.mot,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\Mocap\stw2.c3d,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\EMG and IMU\Processed_Normalized_EMG\S04_stw2_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S04_stw2_cropped_rise_to_hs_emg.csv,2526,2.526,1113,success
S04,3,R,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\Mocap\grfResults\stw3.mot,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\Mocap\stw3.c3d,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\EMG and IMU\Processed_Normalized_EMG\S04_stw3_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S04_stw3_cropped_rise_to_hs_emg.csv,3429,3.429,1106,success
