subject,1,2,3,4,5
1,Left,Left,Left,Left,Left
2,Right,Right,Left,Left,Left
3,Right,Right,Right,Right,Right
4,Right,Right,Right,Right,Right
5,Right,Left,Left,Left,Left
6,Left,Left,Left,Left,Left
7,Right,Right,Right,Right,Right
8,Right,Right,Right,Right,Right
9,Right,Right,Right,Right,Right
10,Right,Right,Right,Right,Right
11,Left,Left,Left,Left,Left
12,Right,Right,Right,Right,Right
13,Left,Left,Left,Left,Left
14,Left,Left,Left,Left,Left
15,Left,Left,Left,Left,Right
16,Right,Right,Right,Right,Right
17,Right,Right,Right,Right,Right
18,Left,Left,Left,Left,Left
19,Right,Right,Right,Left,Left
20,Right,Right,Right,Right,Right
21,Left,Left,Left,Left,Left
22,Right,Right,Right,Right,Right
23,Right,Right,Right,Right,Right
24,Left,Left,Left,Left,Left
25,Right,Right,Right,Right,Right
26,Right,Right,Right,Right,Right
27,Left,Left,Left,Left,Left
28,Left,Left,Left,Left,Left
29,Right,Right,Right,Right,Right
30,Left,Left,Left,Left,Right
31,Left,Left,Left,Left,Left
32,Left,Left,Right,Right,Right
33,Left,Left,Left,Left,Left
34,Right,Right,Right,Right,Right
35,Right,Right,Right,Right,Right
36,Right,Right,Right,Right,Right
37,Left,Right,Left,Right,Right
38,Right,Right,Right,Right,Right
39,Left,Left,Left,Left,Left
40,Right,Right,Right,Right,Right
41,Left,Left,Right,Right,Left
42,Left,Left,Left,Left,Left
43,Right,Left,Right,Right,Right
44,Left,Left,Left,Left,Left
45,Right,Right,Right,Right,Right
46,Right,Right,Right,Right,Right
47,Right,Right,Right,Right,Right
48,Right,Right,Right,Right,Right
49,Right,Right,Right,Right,Right
50,Right,Right,Right,Right,Right
51,Left,Right,Left,Right,Right
52,Left,Left,Left,Left,Left
53,Left,Left,Left,Left,Left
54,Right,Right,Right,Right,Right
55,Right,Right,Right,Left,Right
56,Left,Left,Left,Right,Left
57,Right,Right,Right,Right,Right
58,Left,Left,Left,Left,Left
59,Left,Left,Left,Left,Left
60,Right,Left,Right,Right,Right
61,Left,Left,Left,Left,Left
62,Left,Left,Left,Left,Left
63,Right,Right,Right,Right,Right
64,Right,Right,Right,Right,Right
65,Right,Right,Right,Right,Right
